name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Mesorhizobium	68287	G	42	3	45	0.00016
Nitratireductor	245876	G	6	0	6	0.00002
Aminobacter	31988	G	5	0	5	0.00002
Hoeflea	274591	G	2	0	2	0.00001
Phyllobacterium	28100	G	1	0	1	0.00000
Methylobacterium	407	G	27	2	29	0.00010
Methylorubrum	2282523	G	4	1	5	0.00002
Microvirga	186650	G	2	0	2	0.00001
Azorhizobium	6	G	6	0	6	0.00002
Xanthobacter	279	G	3	0	3	0.00001
Starkeya	152053	G	3	0	3	0.00001
Pseudolabrys	556257	G	3	0	3	0.00001
Labrys	204476	G	2	0	2	0.00001
Methyloceanibacter	1484898	G	3	0	3	0.00001
Hartmannibacter	1572860	G	2	0	2	0.00001
Pseudorhodoplanes	1734920	G	1	0	1	0.00000
Methylocella	120652	G	4	0	4	0.00001
Methylovirgula	1156568	G	1	0	1	0.00000
Martelella	293088	G	3	0	3	0.00001
Aureimonas	414371	G	2	0	2	0.00001
Methylosinus	425	G	4	0	4	0.00002
Hyphomicrobium	81	G	2	0	2	0.00001
Devosia	46913	G	1	0	1	0.00000
Brucella	234	G	2	0	2	0.00001
Ochrobactrum	528	G	1	0	1	0.00001
Chelatococcus	28209	G	2	0	2	0.00001
Sphingomonas	13687	G	36	1	37	0.00013
Sphingobium	165695	G	14	2	16	0.00006
Novosphingobium	165696	G	13	1	14	0.00005
Rhizorhabdus	1649486	G	5	1	6	0.00002
Sphingosinicella	335405	G	4	0	4	0.00001
Blastomonas	150203	G	2	0	2	0.00001
Citromicrobium	72173	G	1	0	1	0.00000
Sphingopyxis	165697	G	1	0	1	0.00000
Sphingorhabdus	1434046	G	1	0	1	0.00000
Erythrobacter	1041	G	11	0	11	0.00004
Altererythrobacter	361177	G	3	0	3	0.00001
Porphyrobacter	1111	G	2	0	2	0.00001
Croceicoccus	1295327	G	2	0	2	0.00001
Azospirillum	191	G	20	0	20	0.00007
Magnetospirillum	13134	G	6	0	6	0.00002
Rhodospirillum	1081	G	4	0	4	0.00001
Tistrella	171436	G	4	0	4	0.00001
Niveispirillum	1543704	G	4	0	4	0.00001
Nitrospirillum	1543705	G	3	0	3	0.00001
Ferrovibrio	1231242	G	1	0	1	0.00000
Komagataeibacter	1434011	G	6	0	6	0.00002
Stella	93	G	4	0	4	0.00001
Roseomonas	125216	G	4	0	4	0.00001
Granulibacter	364409	G	3	0	3	0.00001
Neoasaia	320496	G	3	0	3	0.00001
Gluconobacter	441	G	2	0	2	0.00001
Kozakia	153497	G	2	0	2	0.00001
Acetobacter	434	G	1	0	1	0.00000
Neokomagataea	1223423	G	1	0	1	0.00000
Gluconacetobacter	89583	G	1	0	1	0.00000
Acidiphilium	522	G	1	0	1	0.00000
Caulobacter	75	G	15	2	17	0.00006
Brevundimonas	41275	G	4	0	4	0.00001
Asticcacaulis	76890	G	2	2	4	0.00001
Phreatobacter	1632780	G	2	0	2	0.00001
Myxococcus	32	G	10	0	10	0.00003
Corallococcus	83461	G	4	0	4	0.00001
Cystobacter	42	G	6	0	6	0.00002
Archangium	47	G	5	0	5	0.00002
Melittangium	44	G	2	0	2	0.00001
Stigmatella	40	G	1	0	1	0.00000
Anaeromyxobacter	161492	G	6	0	6	0.00002
Vulgatibacter	1524214	G	3	0	3	0.00001
Sorangium	39643	G	13	0	13	0.00004
Minicystis	1649470	G	3	0	3	0.00001
Labilithrix	1524217	G	1	0	1	0.00000
Haliangium	162027	G	1	0	1	0.00000
Geobacter	28231	G	5	0	5	0.00002
Desulfuromonas	890	G	3	0	3	0.00001
Pelobacter	18	G	1	0	1	0.00000
Desulfovibrio	872	G	4	0	4	0.00001
Pseudodesulfovibrio	2035811	G	1	0	1	0.00000
Desulfomicrobium	898	G	1	0	1	0.00000
Desulfatibacillum	218207	G	2	0	2	0.00001
Desulfobacter	2289	G	1	0	1	0.00000
Desulfobulbus	893	G	1	0	1	0.00000
Desulfarculus	453229	G	3	0	3	0.00001
Desulfomonile	2357	G	1	0	1	0.00000
Helicobacter	209	G	1	0	1	0.00000
Sulfurospirillum	57665	G	1	0	1	0.00000
Hydrogenophilus	70774	G	2	0	2	0.00001
Bdellovibrio	958	G	1	0	1	0.00000
Acidithiobacillus	119977	G	1	0	1	0.00000
Micrococcus	1269	G	23268	160	23428	0.08070
Arthrobacter	1663	G	5	0	5	0.00002
Kocuria	57493	G	4	0	4	0.00001
Sinomonas	596707	G	3	0	3	0.00001
Pseudarthrobacter	1742993	G	3	0	3	0.00001
Rothia	32207	G	1	0	1	0.00000
Citricoccus	169133	G	1	0	1	0.00000
Glutamicibacter	1742989	G	1	0	1	0.00000
Psychromicrobium	2078575	G	1	0	1	0.00000
Microbacterium	33882	G	13	1	14	0.00005
Clavibacter	1573	G	3	0	3	0.00001
Agromyces	33877	G	3	0	3	0.00001
Agrococcus	46352	G	3	0	3	0.00001
Leucobacter	55968	G	3	0	3	0.00001
Cryobacterium	69578	G	3	3	6	0.00002
Frondihabitans	447237	G	3	0	3	0.00001
Plantibacter	190323	G	3	0	3	0.00001
Rathayibacter	33886	G	2	0	2	0.00001
Lysinimonas	1434018	G	2	0	2	0.00001
Curtobacterium	2034	G	1	0	1	0.00000
Humibacter	427753	G	1	0	1	0.00000
Mycetocola	76634	G	1	0	1	0.00000
Intrasporangium	53357	G	7	0	7	0.00002
Serinicoccus	265976	G	4	0	4	0.00001
Ornithinimicrobium	125287	G	2	0	2	0.00001
Janibacter	53457	G	1	0	1	0.00000
Cellulomonas	1707	G	6	0	6	0.00002
Paraoerskovia	665568	G	3	0	3	0.00001
Oerskovia	162491	G	2	0	2	0.00001
Cellulosimicrobium	157920	G	2	0	2	0.00001
Xylanimicrobium	289244	G	2	0	2	0.00001
Isoptericola	254250	G	1	0	1	0.00000
Brachybacterium	43668	G	5	0	5	0.00002
Dermacoccus	57495	G	4	0	4	0.00001
Kytococcus	57499	G	1	0	1	0.00000
Brevibacterium	1696	G	2	0	2	0.00001
Miniimonas	947525	G	1	0	1	0.00000
Ruania	626119	G	1	0	1	0.00000
Frankia	1854	G	22170	12	22182	0.07640
Jatrophihabitans	1434010	G	1	0	1	0.00000
Streptomyces	1883	G	22056	40	22096	0.07611
Kitasatospora	2063	G	8	0	8	0.00003
Mycobacterium	1763	G	21	3	24	0.00009
Mycolicibacterium	1866885	G	7	0	7	0.00003
Mycobacteroides	670516	G	5	1	6	0.00002
Mycolicibacter	1073531	G	2	0	2	0.00001
Rhodococcus	1827	G	22	0	22	0.00008
Nocardia	1817	G	12	0	12	0.00004
Corynebacterium	1716	G	8	0	8	0.00003
Gordonia	2053	G	6	0	6	0.00002
Dietzia	37914	G	3	0	3	0.00001
Segniliparus	286801	G	1	0	1	0.00000
Micromonospora	1873	G	35	0	35	0.00012
Actinoplanes	1865	G	14	0	14	0.00005
Plantactinospora	673534	G	2	0	2	0.00001
Salinispora	168694	G	1	0	1	0.00000
Nocardioides	1839	G	15	0	15	0.00005
Micropruina	116071	G	5	0	5	0.00002
Pimelobacter	2044	G	3	0	3	0.00001
Aeromicrobium	2040	G	2	0	2	0.00001
Friedmanniella	53387	G	2	0	2	0.00001
Actinopolymorpha	117156	G	2	0	2	0.00001
Kribbella	182639	G	1	0	1	0.00000
Tessaracoccus	72763	G	8	0	8	0.00003
Microlunatus	29404	G	2	0	2	0.00001
Auraticoccus	1278221	G	2	0	2	0.00001
Propionibacterium	1743	G	1	0	1	0.00001
Acidipropionibacterium	1912215	G	1	0	1	0.00000
Pseudopropionibacterium	1912217	G	1	0	1	0.00000
Amycolatopsis	1813	G	9	0	9	0.00003
Actinoalloteichus	65496	G	7	0	7	0.00002
Saccharothrix	2071	G	6	0	6	0.00002
Pseudonocardia	1847	G	5	0	5	0.00002
Kibdelosporangium	2029	G	5	0	5	0.00002
Actinosynnema	40566	G	5	0	5	0.00002
Saccharopolyspora	1835	G	2	0	2	0.00001
Prauserella	142577	G	2	0	2	0.00001
Lentzea	165301	G	2	0	2	0.00001
Allokutzneria	1137960	G	2	0	2	0.00001
Kutzneria	43356	G	1	0	1	0.00000
Nonomuraea	83681	G	3	0	3	0.00001
Streptosporangium	2000	G	2	0	2	0.00001
Nocardiopsis	2013	G	5	0	5	0.00002
Actinomadura	1988	G	3	0	3	0.00001
Bifidobacterium	1678	G	8	0	8	0.00003
Jiangella	281472	G	7	0	7	0.00002
Actinomyces	1654	G	1	0	1	0.00000
Trueperella	1069494	G	1	0	1	0.00000
Schaalia	2529408	G	1	0	1	0.00000
Nakamurella	53460	G	3	2	5	0.00002
Catenulispora	414878	G	2	0	2	0.00001
Stackebrandtia	283810	G	2	0	2	0.00001
Kineococcus	33981	G	1	0	1	0.00000
Thermobispora	147067	G	1	0	1	0.00000
Gordonibacter	644652	G	4	0	4	0.00001
Euzebya	908623	G	2	0	2	0.00001
Baekduia	2600304	G	1	0	1	0.00000
Bacillus	1386	G	33676	310	33986	0.11706
Anoxybacillus	150247	G	1	0	1	0.00000
Fictibacillus	1329200	G	1	0	1	0.00000
Paenibacillus	44249	G	4	0	4	0.00001
Brevibacillus	55080	G	3	0	3	0.00001
Saccharibacillus	456492	G	1	0	1	0.00000
Staphylococcus	1279	G	3	0	3	0.00001
Planococcus	1372	G	3	0	3	0.00001
Listeria	1637	G	1	0	1	0.00000
Novibacillus	1677050	G	1	0	1	0.00000
Exiguobacterium	33986	G	1	0	1	0.00000
Enterococcus	1350	G	2	0	2	0.00001
Streptococcus	1301	G	1	0	1	0.00000
Thermaerobacter	73918	G	2	0	2	0.00001
Eubacterium	1730	G	1	0	1	0.00000
Candidatus Desulforudis	471826	G	1	0	1	0.00000
Ethanoligenens	253238	G	1	0	1	0.00000
Thermacetogenium	140458	G	1	0	1	0.00000
Methylomusa	2093783	G	1	0	1	0.00000
Deinococcus	1298	G	14	0	14	0.00005
Thermus	270	G	4	0	4	0.00001
Rippkaea	2546365	G	3	0	3	0.00001
Arthrospira	35823	G	3	0	3	0.00001
Synechococcus	1129	G	1	0	1	0.00000
Leptolyngbya	47251	G	1	0	1	0.00000
Nostoc	1177	G	1	0	1	0.00000
Gloeobacter	33071	G	1	0	1	0.00000
Dehalogenimonas	670486	G	2	0	2	0.00001
Candidatus Promineofilum	1988031	G	2	0	2	0.00001
Chloroflexus	1107	G	1	0	1	0.00000
Sphaerobacter	2056	G	1	0	1	0.00000
Thermobaculum	262406	G	1	31	32	0.00011
Rhodopirellula	265488	G	2	0	2	0.00001
Bythopirellula	1400386	G	1	0	1	0.00000
Roseimaritima	1579506	G	1	0	1	0.00000
Rubinisphaera	1649490	G	1	0	1	0.00000
Paludisphaera	1763521	G	4	0	4	0.00001
Isosphaera	127	G	1	0	1	0.00000
Gemmata	113	G	1	0	1	0.00000
Akkermansia	239934	G	3	0	3	0.00001
Verrucomicrobium	2735	G	2	0	2	0.00001
Opitutus	178440	G	3	0	3	0.00001
Nibricoccus	2576890	G	1	1	2	0.00001
Hymenobacter	89966	G	9	0	9	0.00003
Pontibacter	323449	G	2	0	2	0.00001
Rufibacter	1379908	G	2	0	2	0.00001
Robiginitalea	252306	G	3	0	3	0.00001
Formosa	225842	G	1	0	1	0.00000
Pedobacter	84567	G	3	0	3	0.00001
Mucilaginibacter	423349	G	1	0	1	0.00000
Rhodothermus	29548	G	2	0	2	0.00001
Alistipes	239759	G	1	0	1	0.00000
Chitinophaga	79328	G	1	0	1	0.00000
Chlorobaculum	256319	G	1	0	1	0.00000
Gemmatimonas	173479	G	3	0	3	0.00001
Gemmatirosa	1706036	G	1	0	1	0.00000
Granulicella	940557	G	6	0	6	0.00002
Terriglobus	392733	G	2	0	2	0.00001
Acidobacterium	33973	G	1	0	1	0.00000
Nitrospira	1234	G	3	2	5	0.00002
Aminobacterium	81466	G	1	0	1	0.00000
Natrinema	88723	G	5	0	5	0.00002
Halostagnicola	353799	G	2	0	2	0.00001
Halorubrum	56688	G	3	0	3	0.00001
Haloplanus	376170	G	1	0	1	0.00000
Haloprofundus	1911573	G	1	0	1	0.00000
Halostella	1843185	G	1	0	1	0.00000
Halodesulfurarchaeum	1980514	G	1	0	1	0.00000
Natronomonas	63743	G	1	1	2	0.00001
Methanoregula	395331	G	3	1	4	0.00001
Homo	9605	G	9	382	391	0.00135
Bcepmuvirus	1198139	G	1	0	1	0.00000
