@SampleID:CAMI_low_S001
@Version:Metalign-v0.2
@Ranks: superkingdom|phylum|class|order|family|genus|species|strain

@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE	_CAMI_genomeID	_CAMI_OTU
2	superkingdom	2	Bacteria	99.84166
1736298.0	strain	2|1239|91061|1385||33986|1736298|1736298.0	Bacteria|Firmicutes|Bacilli|Bacillales||Exiguobacterium|Exiguobacterium sp. Leaf196|Exiguobacterium sp. Leaf196 unknown strain	6.40055	1736298.0	1736298
2088.0	strain	2|544448|31969|186332|186333|2086|2088|2088.0	Bacteria|Tenericutes|Mollicutes|Anaeroplasmatales|Anaeroplasmataceae|Anaeroplasma|Anaeroplasma bactoclasticum|Anaeroplasma bactoclasticum unknown strain	6.23038	2088.0	2088
318586.1	strain	2|1224|28211|204455|31989|265|266|318586.1	Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Paracoccus|Paracoccus denitrificans|Paracoccus denitrificans PD1222	4.04219	318586.1	318586
404881.0	strain	2|1224|28211|204455|31989|1097466|404881|404881.0	Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Defluviimonas|Defluviimonas denitrificans|Defluviimonas denitrificans unknown strain	2.80254	404881.0	404881
1121393.1	strain	2|1224|28221|213118|213119|218207|259354|1121393.1	Bacteria|Proteobacteria|Deltaproteobacteria|Desulfobacterales|Desulfobacteraceae|Desulfatibacillum|Desulfatibacillum alkenivorans|Desulfatibacillum alkenivorans DSM 16219	2.78986	1121393.1	1121393
1736349.0	strain	2|201174|1760|85007|182102|85043|1736349|1736349.0	Bacteria|Actinobacteria|Actinobacteria|Corynebacteriales|Williamsiaceae|Williamsia|Williamsia sp. Leaf354|Williamsia sp. Leaf354 unknown strain	1.15804	1736349.0	1736349
1121884.1	strain	2|976|1853228|1853229|563835|398041|462367|1121884.1	Bacteria|Bacteroidetes|Chitinophagia|Chitinophagales|Chitinophagaceae|Flavisolibacter|Flavisolibacter ginsengisoli|Flavisolibacter ginsengisoli DSM 18119	0.90525	1121884.1	1121884
1121001.1	strain	2|1224|28216|206351|1499392|397275|1121000|1121001.1	Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Chromobacteriaceae|Andreprevotia|Andreprevotia lacus|Andreprevotia lacus DSM 23236	0.70048	1121001.1	1121001
1123349.1	strain	2|1239|186801|186802|186804|214904|227138|1123349.1	Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Tepidibacter|Tepidibacter formicigenes|Tepidibacter formicigenes DSM 15518	0.39793	1123349.1	1123349
990712.1.1	strain	2|1224|28211|204455|31989|205889|990712|990712.1.1	Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Albidovulum|Albidovulum xiamenense|	0.31334	990712.1.1	990712
1122156.1	strain	2|1224|28216|80840|80864|198705|198706|1122156.1	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Lampropedia|Lampropedia hyalina|Lampropedia hyalina DSM 16112	0.25413	1122156.1	1122156
2371.8.1	strain	2|1224|1236|135614|32033|2370|2371|2371.8.1	Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Xylella|Xylella fastidiosa|	0.22444	2371.8.1	2371
1736522.0	strain	2|1224|28216|80840|75682|149698|1736522|1736522.0	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Oxalobacteraceae|Massilia|Massilia sp. Root351|Massilia sp. Root351 unknown strain	0.20837	1736522.0	1736522
1120996.1	strain	2|1239|186801|186802|186803|653683|264463|1120996.1	Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerosporobacter|Anaerosporobacter mobilis|Anaerosporobacter mobilis DSM 15930	0.15455	1120996.1	1120996
1121301.1	strain	2|1239|186801|186802|31979|1884934|191027|1121301.1	Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Paramaledivibacter|Paramaledivibacter caminithermalis|Paramaledivibacter caminithermalis DSM 15212	0.15046	1121301.1	1121301
